"NAME","VPIP","PFR","CBET","AF","WSD","hands"
"643c3c82",50,33,50,1.17,25,18
"25ebd856",36,28,0,1,0,27
"fddd60b8",46,31,25,4,75,14
"4d09a2a0",52,15,0,3.5,40,30
"dbde3ba8",42,0,NA,1,43,24
"96d9343d",55,20,25,4,25,20
"74ebc34e",45,5,0,0.5,100,20
"c148003d",47,26,20,1,50,25
"7003036e",60,60,67,3,0,5
"cd443b60",33,0,NA,0,0,3
"f28b4ab0",100,50,0,0,100,3
"a4781b8e",43,14,100,3,100,7
"ca39e4f7",43,14,0,0,100,7
"b3542229",100,100,0,0,0,1
"f65ce0e7",27,9,0,2,60,44
"3f669eb0",83,50,0,1,100,6
"fdfb550d",0,0,NA,0,NA,6
"7b5088e4",77,38,20,1,80,13
"2663ef96",67,67,100,3.5,0,6
"5bbb22e6",63,23,29,2.6,71,30
"6fde602b",29,29,100,3,NA,7
"f97649d4",43,17,25,1,29,23
"8ccc88b1",29,0,NA,0.75,50,17
"f556d451",37,2,100,4.33,50,41
"53e33be6",59,14,40,2.43,60,42
"20efe2ee",41,7,33,3.5,83,41
"4ff6142e",45,16,0,0.33,67,41
"edb495c0",50,0,NA,1,0,2
"3b40e7e4",100,62,20,1.5,67,10
"e4f1c002",92,25,0,0,40,12
"4283bd87",11,5,0,0.67,0,20
"4b3df721",47,7,0,2,33,15
"580bccb9",48,15,0,2.2,100,37
"145b54e0",27,13,50,2.5,25,16
"a4136173",70,30,0,0.4,100,10
"112dd5ae",67,17,0,2,0,6
"77d4df5c",57,11,33,2.17,43,28
"e920fb28",100,100,0,0.5,0,1
"2618f0d3",38,23,0,3,0,13
"f004fdb9",41,26,0,3,100,34
"ad28bf0c",50,12,0,0.5,33,8
"1f460e70",46,18,0,1.5,67,28
"08664e25",65,35,17,2,100,17
"9808eef2",67,22,0,2,0,9
"d56527f2",53,21,25,6,75,19
"166a727b",75,25,0,0.5,50,4
"d9af61ee",45,5,0,4.5,78,40
"0527f4fc",53,35,0,2,20,18
"4272ac21",49,31,36,3.33,50,35
"77a1a5fe",53,7,0,1,33,16
"05e3e0cd",68,21,0,2.5,75,28
"17c7871b",64,45,20,2.5,0,11
"70816e4b",37,0,NA,0.67,40,30
"9b39cd9f",30,10,0,7,60,30
"bc643a18",75,50,50,1,0,4
"a6d39a81",86,43,0,2,100,7
"ce792827",0,0,NA,0,NA,1
"3b029818",69,15,0,1.33,33,13
"de5191a2",15,8,0,1,67,13
"d5d58de6",33,11,0,5,0,9
"f5a41d5c",67,0,NA,2.5,100,9
"a713f3c2",50,10,0,3,33,20
"52dc508f",64,57,50,5,50,14
"c7427467",46,25,0,3,20,27
"46806e8e",41,22,0,0,83,27
"a3c140e5",47,19,0,2,50,36
"8cda1d8e",50,33,0,0.5,0,6
"f677ac47",83,83,20,0.33,33,6
"e4b8f694",25,12,0,1,100,16
"207a13d1",50,25,0,2,33,16
"a817e7d6",50,25,100,3.5,NA,13
"2c678d63",64,0,NA,3,100,13
"cd8818fe",100,60,33,3,0,6
"4f5bafe4",47,16,0,2,62,38
"3318c7e8",43,20,33,16,67,46
"9090977e",57,24,0,0.75,40,21
"35af34eb",48,13,33,2,25,23
"ca6276c2",43,21,0,1,25,28
"0eecced4",70,15,0,2.33,67,20
"c8037b78",41,18,50,2.25,67,22
"63cb1ea5",40,20,100,1.5,0,10
"9df8a176",70,40,25,4,100,10
"0d2baef8",39,3,100,1.8,40,31
"4dbc0064",71,29,0,3,0,7
"26077fad",100,0,NA,2,0,1
"b25b7209",25,25,0,0.67,100,4
"3d3cd3c8",46,38,40,2,0,17
"73fe455e",42,18,0,0.62,33,45
"aa105867",55,5,0,0.5,50,23
"79eee8db",51,30,12,2.8,62,57
"fb49f43d",80,60,0,4,0,5
"77d196c2",60,40,17,2,80,15
"f590690e",45,18,0,0.5,33,11
"3c089814",45,18,0,5,33,24
"baa3ef18",60,20,0,0,33,5
"82e068e7",50,21,33,4,50,14
"d99c875f",40,25,10,7,43,44
"86db842b",46,24,0,0.8,71,50
"25cbb228",61,17,0,0.6,50,18
"6d8df652",100,0,NA,0,0,1
"518e0e75",47,12,100,9,67,17
"f8e886d7",45,5,0,0.5,71,20
"5c0aaf40",48,23,0,4,43,56
"514f9e5a",47,12,0,1.75,100,17
"c20f1c62",60,60,0,0,0,5
"c9472a76",69,42,18,13,50,26
"7d5d9f41",47,23,0,0.33,67,30
"863061d9",53,24,50,2,80,17
"83106bb7",50,0,NA,4,0,4
"25b71411",63,34,31,1.75,44,38
"dd8a71b9",100,33,0,5,0,3
"f7805a33",60,30,0,1,50,10
"391d5dbb",50,0,NA,3,100,10
"a09efeac",58,21,20,1.75,71,24
"55514ec3",36,16,25,0.5,60,26
"cc88517c",67,17,100,8,100,6
"5bc42878",67,17,100,1,0,6
"f67f1a6f",50,50,0,0.5,100,6
"1dd2c46a",33,33,50,1,NA,6
"8ad98ee2",100,0,NA,2,0,1
"ba099d79",57,52,25,5,75,23
"29d22f56",43,14,100,0.25,33,7
"7043fabd",43,14,0,2,100,7
"24866475",57,14,100,0.25,50,7
"7e171c39",80,40,0,1,100,5
"5f0c29bc",57,29,0,1,33,7
"be284f80",69,34,10,6.5,38,29
"7d6785a1",65,7,67,1.25,40,40
"f461ea43",83,58,14,0.75,0,12
"67f22ca0",0,0,NA,1,NA,4
"9dc1e788",100,50,0,3,100,4
"b49a909a",70,40,75,7,0,10
"1f279a96",32,14,25,1.5,33,33
"f3c183c1",40,26,11,1.5,67,35
"0a56dce4",48,29,17,1.75,62,43
"65fa918d",33,11,0,2,0,36
"66280ff9",80,20,0,2,100,5
"0f4346f6",80,40,50,0.67,NA,5
"51439177",55,0,NA,2.56,33,40
"aea053e0",69,25,50,1,62,16
"9ca73643",60,30,33,3,25,10
"325608a8",62,50,0,2,83,16
"0577d600",60,30,0,2,0,10
"9e85171c",33,17,0,0,0,6
"eb58c727",75,25,0,2,50,8
"69018208",36,0,NA,7,100,11
"3fa0e80d",67,56,20,0.29,0,9
"9f553c4c",66,9,33,1.89,71,35
"8b4eb8d8",55,55,33,2,0,11
"bb0fb115",50,6,0,5,0,18
"173af438",56,18,17,1.8,47,67
"6c3ebdf7",69,9,0,0.27,55,32
"3ef7917b",73,9,0,0.75,60,11
"9dbd12dc",25,0,NA,0,NA,4
"c726bd76",75,25,0,2,100,4
"08e9717c",100,0,NA,1,100,1
"2b066e72",29,14,100,2,0,7
"07835988",100,0,NA,1,0,4
"beabc1a1",70,20,50,1,0,10
"4da1fc91",71,21,67,2.75,75,14
"ec7dd51f",100,0,NA,1,0,1
"cbe3d6f1",71,9,33,0.91,43,35
"76b51c6c",71,53,33,0.9,50,17
"ebdcfc21",67,39,43,1.6,20,18
"adcfdbe1",83,33,0,2,0,7
"fd9b96eb",75,44,29,0.5,100,16
"2640f65f",71,0,NA,0.67,75,7
"470a913f",57,14,0,0.33,50,7
"9b04c7a6",71,29,25,4,100,14
"e0495755",43,29,0,4,100,14
"70dcf78a",50,0,NA,1,30,35
"fb1ae127",54,37,7,3,55,43
"0ef9a86d",53,17,20,1.8,12,58
"529e17fa",42,32,0,0.5,100,31
"6c841aba",50,33,25,1.33,0,24
"ad353749",67,17,50,1.67,0,12
"f01275d2",75,75,0,0,0,8
"c36626d5",69,31,20,2.5,62,17
"5f08b627",54,14,0,1,80,51
"58afc99e",28,23,5,0.67,75,83
"b62f655f",43,0,NA,0.5,0,7
"c50cb2a9",67,67,0,0,0,6
"a0e6bc37",60,45,11,5,33,20
"b48655b3",68,24,0,0.75,71,29
"7bdd9402",38,25,50,1,0,8
"c566309e",100,0,NA,2,0,1
